tier,arm,solver,theoretical_order,measured_slope,r2,fit_window_lo,fit_window_hi,n_in_window,n_swept,min_err,min_nfe,gap_vs_theory
1,A,ab2,2,2.032911747582067,0.9999510425946644,0.0003906249999999,0.0124999999999999,6,6,4.2847802731010244e-07,65,0.03291174758206683
1,A,euler,1,1.0116853032182165,0.9999714308503724,0.0015625,0.05,6,6,0.0034398127138574,16,0.01168530321821648
1,A,heun3,3,3.0138168609016853,0.9999935899233198,0.0015625,0.05,6,6,1.1826777807203543e-09,48,0.013816860901685324
1,A,midpoint,2,2.0280914130082013,0.999971607034264,0.0015625,0.05,6,6,1.0121787763793836e-06,32,0.028091413008201283
1,A,rk4,4,3.9379313482668694,0.9999172597142656,0.0015625,0.05,6,6,3.8612136277451454e-12,64,-0.062068651733130586
1,B,ab2,2,1.9350337032381129,0.9997148534868592,0.0026137600253841,0.0836403208122806,6,6,8.146768938210073e-07,65,-0.06496629676188714
1,B,euler,1,1.0228367214695213,0.9998832442831803,0.0104550401015348,0.3345612832491236,6,6,0.003709443664052,16,0.022836721469521315
1,B,heun3,3,3.014619954072136,0.9999770790082594,0.0104550401015348,0.3345612832491236,6,6,2.813747301134921e-09,48,0.014619954072136121
1,B,midpoint,2,2.0569044560264764,0.9998382517549346,0.0104550401015348,0.3345612832491236,6,6,3.179673985266466e-06,32,0.056904456026476424
1,B,rk4,4,3.9211664813856677,0.9998979475140803,0.0104550401015348,0.3345612832491236,6,6,8.150689387324324e-12,64,-0.0788335186143323
1,C,ddim,1,0.9936447857201076,0.9999912405189915,0.0104550401015348,0.3345612832491236,6,6,0.0030283831161136,16,-0.006355214279892385
1,C,dpm1,1,0.9936447857202318,0.9999912405189906,0.0104550401015348,0.3345612832491236,6,6,0.0030283831161114,16,-0.006355214279768151
1,C,dpm2,2,2.0282012530989926,0.9999611670640807,0.0209100802030706,0.6691225664982481,6,6,3.180106887243809e-05,16,0.028201253098992574
1,C,dpm3,3,3.093701394429406,0.9998046243905634,0.0278801069374265,0.8921634219976644,6,6,8.288584467728198e-08,18,0.09370139442940584
2,A,ab2,2,1.9877622067106848,0.9999935241267949,0.0003906249999999,0.0124999999999999,6,6,5.23456691998596e-07,65,-0.01223779328931518
2,A,euler,1,1.0119151324360347,0.9999704338278114,0.0015625,0.05,6,6,0.0021331043943953,16,0.011915132436034703
2,A,heun3,3,2.998972546383509,0.9999997206351762,0.0015625,0.05,6,6,1.974032503859958e-09,48,-0.0010274536164911474
2,A,midpoint,2,2.030528758158535,0.9999630202584135,0.0015625,0.05,6,6,7.744907709741809e-07,32,0.030528758158534952
2,A,rk4,4,3.9971873326581493,0.9999990261437466,0.0015625,0.05,6,6,8.151313340615834e-12,64,-0.0028126673418507053
2,B,ab2,2,1.9746477309891306,0.9999623570998809,0.0026137600253841,0.0836403208122806,6,6,8.43914765601866e-07,65,-0.0253522690108694
2,B,euler,1,1.022879572307759,0.9998839050758779,0.0104550401015348,0.3345612832491236,6,6,0.002307511293454,16,0.022879572307759055
2,B,heun3,3,3.0240069324998036,0.9999660632907321,0.0104550401015348,0.3345612832491236,6,6,2.06720277404166e-09,48,0.024006932499803568
2,B,midpoint,2,2.054677518894174,0.9998447760055953,0.0104550401015348,0.3345612832491236,6,6,1.995576128502112e-06,32,0.05467751889417416
2,B,rk4,4,3.9650434693062224,0.9999837711640975,0.0104550401015348,0.3345612832491236,6,6,4.615666054596404e-12,64,-0.03495653069377758
2,C,ddim,1,0.996472033352259,0.9999963495479521,0.0104550401015348,0.3345612832491236,6,6,0.0014410990115172,16,-0.003527966647741021
2,C,dpm1,1,0.9964720333525653,0.9999963495479508,0.0104550401015348,0.3345612832491236,6,6,0.001441099011514,16,-0.0035279666474347104
2,C,dpm2,2,2.017811553998447,0.9999901233564427,0.0209100802030706,0.6691225664982481,6,6,1.5036580392012951e-05,16,0.01781155399844714
2,C,dpm3,3,3.084485295405076,0.9998743753948884,0.0278801069374265,0.8921634219976644,6,6,3.868793387681942e-08,18,0.08448529540507588
3,A,euler,1,0.8418108158393603,0.9989073645950189,0.008325,0.0999,8,8,9.685051376723914,10,-0.15818918416063965
3,A,midpoint,2,1.5250399817238023,0.9978907429167739,0.01665,0.1998,8,8,0.9286032515820104,10,-0.4749600182761977
3,A,rk4,4,1.2102455147117062,0.9920490097440613,0.0333,0.4995,8,8,4.57418480118177,8,-2.789754485288294
3,B,euler,1,0.7455544457299192,0.9974687489304803,0.0805329725251614,0.9663956703019378,8,8,15.389080803099924,10,-0.25444555427008075
3,B,midpoint,2,1.6032113279439024,0.9939557145690052,0.1610659450503229,1.932791340603876,8,8,1.6512950550583756,10,-0.3967886720560976
3,B,rk4,4,2.230976615553271,0.9785077457633461,0.3221318901006459,4.831978351509689,8,8,0.4314320179219852,8,-1.769023384446729
3,C,dpm1,1,0.8126396337506321,0.9973809425633337,0.0805329725251614,0.9663956703019378,8,8,9.784066719655062,10,-0.18736036624936792
3,C,dpm2,2,2.1914937845847073,0.9938217002832069,0.1610659450503229,1.932791340603876,8,8,0.6511232962530513,10,0.19149378458470734
3,C,dpm3,3,2.4730779113402,0.9744574070622234,0.2415989175754844,3.22131890100646,8,8,0.3726191203529986,9,-0.5269220886597998
