sampler,nfe,err_l2
ddim_quad,10,8.932896501843022
ddim_quad,10,8.584294242541924
ddim_quad,10,6.614978655328897
ddim_quad,10,6.179474163378863
ddim_quad,10,21.444087500719455
ddim_quad,10,14.496828987528193
ddim_quad,10,9.483952834558602
ddim_quad,10,12.326778935238877
ddim_quad,10,12.371415793684248
ddim_quad,10,11.530918015773848
ddim_quad,10,13.898253172772053
ddim_quad,10,12.932132657819773
ddim_quad,10,8.501606687856404
ddim_quad,10,6.634949355573456
ddim_quad,10,15.191590850692629
ddim_quad,10,11.649726169598738
ddim_quad,10,16.83782532154938
ddim_quad,10,13.049445620269466
ddim_quad,10,18.23805793114097
ddim_quad,10,5.865510448406939
ddim_quad,10,16.034602530511783
ddim_quad,10,11.188633836762666
ddim_quad,10,11.91831895263311
ddim_quad,10,7.860736818116435
ddim_quad,10,10.529911991340988
ddim_quad,10,11.868953417649584
ddim_quad,10,12.70041190779453
ddim_quad,10,9.429247717504987
ddim_quad,10,13.807021780389105
ddim_quad,10,10.352246911733735
ddim_quad,10,10.112892043709413
ddim_quad,10,5.001295466840059
ddim_quad,10,15.032461039961285
ddim_quad,10,11.583368842733163
ddim_quad,10,10.943838291694178
ddim_quad,10,13.653148862622961
ddim_quad,10,5.3846659245743265
ddim_quad,10,9.480533216399635
ddim_quad,10,7.090290397963088
ddim_quad,10,9.477680311390206
ddim_quad,10,11.708783283331687
ddim_quad,10,14.877589744086825
ddim_quad,10,12.640915620675466
ddim_quad,10,14.193425579139179
ddim_quad,10,12.498769776914793
ddim_quad,10,8.038909831181568
ddim_quad,10,14.051149594031552
ddim_quad,10,14.431332882709635
ddim_quad,10,8.398554807508555
ddim_quad,10,10.21900543045455
ddim_quad,10,8.7805384851091
ddim_quad,10,11.427731204439652
ddim_quad,10,6.090320292467846
ddim_quad,10,5.5329365855307415
ddim_quad,10,11.275302887165845
ddim_quad,10,10.379664248092297
ddim_quad,10,7.212237666921444
ddim_quad,10,14.210975240046736
ddim_quad,10,10.229885555899104
ddim_quad,10,10.592998619971317
ddim_quad,10,8.103183199259185
ddim_quad,10,11.657969977830039
ddim_quad,10,7.2278630576044876
ddim_quad,10,12.499126083075227
ddim_quad,12,7.402506716398646
ddim_quad,12,7.05682050702636
ddim_quad,12,5.633448840035468
ddim_quad,12,5.083714376056613
ddim_quad,12,19.361133708127525
ddim_quad,12,12.100638906396037
ddim_quad,12,7.447801847956687
ddim_quad,12,10.712739268447399
ddim_quad,12,10.455914695117055
ddim_quad,12,9.446593510139575
ddim_quad,12,11.595395823302184
ddim_quad,12,11.128899100230862
ddim_quad,12,7.025325887050241
ddim_quad,12,5.533612134872366
ddim_quad,12,12.809423111435162
ddim_quad,12,10.39505942589487
ddim_quad,12,14.926962528798464
ddim_quad,12,11.297435828616154
ddim_quad,12,16.016947757599286
ddim_quad,12,4.6625058266875845
ddim_quad,12,13.716286038039808
ddim_quad,12,9.344374523514121
ddim_quad,12,10.017989956711434
ddim_quad,12,6.213075676981054
ddim_quad,12,9.321227361762611
ddim_quad,12,10.387303041506385
ddim_quad,12,10.456094266281369
ddim_quad,12,7.881047821461236
ddim_quad,12,11.845053243917029
ddim_quad,12,8.210225570776922
ddim_quad,12,7.9759476564465075
ddim_quad,12,4.215406396052662
ddim_quad,12,12.773253927165554
ddim_quad,12,9.853333210586985
ddim_quad,12,9.02806240998898
ddim_quad,12,11.374321102499762
ddim_quad,12,4.28502964704407
