tier,testbed,arm,solver,order,kappa,h,nfe,err_l2,diverged,seed
2,mog8,A,euler,1,nan,0.050000000000000044,16,0.07136285820665825,0,0
2,mog8,A,euler,1,nan,0.025000000000000022,32,0.03488074993707054,0,0
2,mog8,A,euler,1,nan,0.012499999999999956,64,0.017239706069990344,0,0
2,mog8,A,euler,1,nan,0.006249999999999978,128,0.008569829954959467,0,0
2,mog8,A,euler,1,nan,0.0031250000000000444,256,0.004272438447483653,0,0
2,mog8,A,euler,1,nan,0.0015625000000000222,512,0.0021331043943962178,0,0
2,mog8,A,midpoint,2,nan,0.050000000000000044,32,0.0008864299924672582,0,0
2,mog8,A,midpoint,2,nan,0.025000000000000022,64,0.00021058671121387568,0,0
2,mog8,A,midpoint,2,nan,0.012499999999999956,128,5.105826643854147e-05,0,0
2,mog8,A,midpoint,2,nan,0.006249999999999978,256,1.2554298705174521e-05,0,0
2,mog8,A,midpoint,2,nan,0.0031250000000000444,512,3.111609472868574e-06,0,0
2,mog8,A,midpoint,2,nan,0.0015625000000000222,1024,7.744907703876795e-07,0,0
2,mog8,A,heun3,3,nan,0.050000000000000044,48,6.433963794768493e-05,0,0
2,mog8,A,heun3,3,nan,0.025000000000000022,96,8.091353736415782e-06,0,0
2,mog8,A,heun3,3,nan,0.012499999999999956,192,1.011889321383241e-06,0,0
2,mog8,A,heun3,3,nan,0.006249999999999978,384,1.2642432817236355e-07,0,0
2,mog8,A,heun3,3,nan,0.0031250000000000444,768,1.579626441497338e-08,0,0
2,mog8,A,heun3,3,nan,0.0015625000000000222,1536,1.9740317855603744e-09,0,0
2,mog8,A,rk4,4,nan,0.050000000000000044,64,8.437050196742043e-06,0,0
2,mog8,A,rk4,4,nan,0.025000000000000022,128,5.349129836104656e-07,0,0
2,mog8,A,rk4,4,nan,0.012499999999999956,256,3.350280084933149e-08,0,0
2,mog8,A,rk4,4,nan,0.006249999999999978,512,2.093325883587669e-09,0,0
2,mog8,A,rk4,4,nan,0.0031250000000000444,1024,1.3075256211724138e-10,0,0
2,mog8,A,rk4,4,nan,0.0015625000000000222,2048,8.151900057957215e-12,0,0
2,mog8,A,ab2,2,nan,0.012499999999999956,65,0.000512545459861851,0,0
2,mog8,A,ab2,2,nan,0.006249999999999978,129,0.0001308443847491119,0,0
2,mog8,A,ab2,2,nan,0.0031250000000000444,257,3.311270433038444e-05,0,0
2,mog8,A,ab2,2,nan,0.0015625000000000222,513,8.332588446862563e-06,0,0
2,mog8,A,ab2,2,nan,0.0007812499999999556,1025,2.090220749422834e-06,0,0
2,mog8,A,ab2,2,nan,0.0003906249999999778,2049,5.234566921257839e-07,0,0
