tier,testbed,kappa,h_star,n_crossings,nfe1_star,nfe3_star
1,gaussian,1.0,6.496697220210672,1,1.4750099957834206,4.425029987350262
1,gaussian,10.0,6.15711232915515,1,1.556361623291027,4.669084869873081
1,gaussian,100.0,5.794669414119049,1,1.653708374810876,4.961125124432629
1,gaussian,1000.0,6.1309648235936205,1,1.5629992366800562,4.6889977100401685
1,gaussian,10000.0,6.2276468715401245,1,1.5387342180850505,4.616202654255152
2,mog8,,3.218840701353573,1,2.9770635543906945,8.931190663172083
